"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"MUNICIPIO",2701001,27399,25776,12769,13007,7835,13729,3926,3852,6999,1997,NA,0.604,NA,NA,409,0,387,9,112,119,69,61,31,8,0,0,400,19,23,29,24.27,6.79,10,59,177,139,13,11,45,9,0,349,0,115,294,174,235,403,6,0,2,3,40,329,25,45,329,25,38,39,40,38.89,38.89,4,72,10,15,298,253,156,260,149,396,9,0,138,10,137,8,51,3,5,6,0,39,409,0,0,0,0,213,196,45,9,0,349,0,22,355,32,2960,3320,3620,3291.82,569.54,20,308,62,11,391,9.11,1.13,4,405,146,0,0,30,116,3,14,56,13,30,95,51,7,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18549,NA,58.4369195599371,5.3286616299865,NA,NA,NA,12.2249388753056,12.2249388753056,NA,NA
2015,"MUNICIPIO",2701100,10745,10583,5379,5204,3554,5424,1521,1760,2664,739,NA,0.513,NA,NA,205,0,191,6,73,52,36,30,5,2,1,0,199,18,21,27,22.74,6.19,8,40,92,58,2,3,13,0,0,192,0,50,155,11,194,199,6,0,0,1,29,152,15,30,152,15,37,39,40,38.46,38.46,4,50,17,29,99,205,0,133,71,199,2,0,6,1,129,1,25,0,0,6,0,29,205,0,0,0,0,111,93,13,0,0,192,0,17,170,18,3005,3300,3690,3259.6,624.34,13,140,33,1,198,8.99,0.29,2,202,61,0,0,11,50,3,2,17,8,20,37,24,4,NA,5,4,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.951951951952,5.67705909725454,NA,NA,NA,24.390243902439,19.5121951219512,4.8780487804878,NA
2015,"MUNICIPIO",2701209,10818,10195,5048,5147,3090,5130,1791,1489,2581,980,NA,0.531,NA,NA,157,0,139,3,38,46,39,19,10,2,0,0,154,19,23,28,24.28,6.2,2,34,73,39,2,4,14,2,0,136,0,24,133,64,93,157,0,0,1,1,12,125,5,14,125,5,38,39,40,38.65,38.65,0,27,22,22,74,155,2,74,83,152,3,0,39,14,29,11,34,1,2,0,0,13,155,2,0,0,0,79,78,14,2,0,136,0,11,133,13,3005,3225,3630,3259.59,561.54,12,107,24,2,155,9.11,0.68,0,156,67,0,0,8,59,4,4,27,8,16,32,35,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,NA,60.8291359938009,6.19338140136809,NA,NA,NA,6.36942675159236,6.36942675159236,NA,12.7388535031847
2015,"MUNICIPIO",2701308,21355,20409,10078,10331,6719,10668,2806,3283,5442,1503,NA,0.562,NA,NA,317,0,149,9,90,100,67,38,11,1,1,0,308,19,23,27,23.32,6.01,17,53,144,86,8,8,19,5,0,287,0,128,189,106,211,314,2,0,1,2,28,245,24,31,245,24,38,39,40,39.1,39.1,4,110,53,42,96,184,133,209,106,301,3,0,70,13,129,5,43,0,3,2,0,29,316,1,0,0,0,160,157,19,5,0,287,0,16,273,28,3000,3295,3650,3305.32,536.3,18,227,41,2,169,9.12,0.73,2,308,120,0,0,26,94,12,3,38,11,30,70,50,8,NA,3,2,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17230,2032,58.2506431459022,5.61929290564271,NA,NA,NA,9.46372239747634,6.30914826498423,3.15457413249211,12.6182965299685
2015,"MUNICIPIO",2701357,6978,6598,3288,3310,2241,3361,927,1109,1700,470,NA,0.559,NA,NA,70,0,49,0,28,23,9,9,0,1,0,0,70,18,21.5,25,22.57,5.47,3,8,32,17,1,2,4,3,0,52,0,35,35,26,44,70,0,0,0,0,3,52,2,3,52,2,38,39,40,38.95,38.95,0,16,5,7,18,68,2,48,22,66,1,0,18,3,26,0,7,0,1,0,0,2,68,2,0,0,0,33,37,6,3,0,52,0,5,57,8,3102.5,3372.5,3557.5,3349.07,470.79,4,42,9,0,67,9.45,0.61,1,69,36,0,0,5,31,NA,5,16,4,6,22,14,5,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1764705882353,5.15907136715391,NA,NA,NA,14.2857142857143,14.2857142857143,NA,28.5714285714286
2015,"MUNICIPIO",2701407,56430,50816,25025,25791,16380,27966,6182,8181,14291,3174,NA,0.57,NA,NA,484,0,406,6,136,145,104,57,27,8,0,1,477,19,22,28,23.88,6.36,12,64,193,181,15,13,15,13,0,425,0,137,347,185,299,478,6,1,2,3,48,376,32,54,376,32,38,39,40,38.86,38.86,5,101,20,24,307,349,135,291,192,467,13,0,125,20,149,11,89,6,6,6,0,49,479,2,0,3,0,267,217,15,13,0,426,0,39,397,48,3023.75,3300,3688.75,3281.46,632.46,28,344,73,8,467,9.41,1.07,5,464,167,0,0,27,140,6,14,48,17,55,101,66,8,NA,6,4,2,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,5205,NA,33.8674690364565,2.95941874889243,206.611570247934,6.99741095794556,6.99741095794556,12.396694214876,8.26446280991736,4.13223140495868,14.4628099173554
2015,"MUNICIPIO",2701506,9664,9032,4437,4595,2786,4683,1449,1396,2380,748,NA,0.524,NA,NA,152,0,79,2,37,32,39,26,11,4,1,0,150,19,25,30,25.28,6.86,5,29,74,35,3,5,1,0,0,151,0,14,138,72,80,149,1,1,0,0,7,93,7,8,93,7,38,39,40,38.58,38.58,0,26,33,24,37,152,0,62,90,138,14,0,33,12,26,0,19,5,8,1,0,8,152,0,0,0,0,74,78,1,0,0,151,0,15,134,3,2907.5,3105,3417.5,3062.7,682.05,16,82,5,1,150,9.09,0.54,0,110,56,0,0,7,49,2,4,18,3,22,27,29,4,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8661,NA,63.8655462184874,5.79470198675497,NA,NA,NA,6.57894736842105,6.57894736842105,NA,19.7368421052632
2015,"MUNICIPIO",2701605,17976,17250,8662,8588,6127,8252,2632,3041,4083,1336,NA,0.506,NA,NA,305,0,260,3,67,78,64,54,30,8,1,0,302,20,25,31,25.7,7.12,23,67,120,74,3,11,10,3,1,286,0,61,244,115,190,303,2,1,2,4,31,225,24,38,225,24,38,39,40,38.8,38.8,0,114,21,29,123,280,25,174,130,291,8,0,73,20,78,32,34,3,5,2,0,37,283,17,4,1,0,159,146,10,3,1,286,0,20,258,27,2956,3230,3570,3242.59,598.2,24,212,39,2,268,9.01,0.52,3,281,114,0,0,16,98,3,18,40,11,26,63,51,9,NA,7,6,1,1,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5634,NA,74.6999755082048,6.34178905206943,NA,NA,NA,22.9508196721311,19.672131147541,3.27868852459016,26.2295081967213
2015,"MUNICIPIO",2701704,17507,17077,8430,8647,5580,8673,2569,2769,4432,1315,NA,0.573,NA,NA,268,0,211,4,80,66,48,40,22,8,0,0,264,19,23,30,24.67,7.17,10,37,119,86,6,8,24,2,0,238,0,126,142,88,180,263,5,0,0,1,30,203,15,31,203,15,38,39,40,38.66,38.66,0,60,34,38,113,199,69,173,95,253,6,0,62,10,92,7,37,3,3,5,0,29,268,0,0,0,0,136,132,24,2,0,238,0,15,232,21,2960,3320,3658.75,3305.41,580.2,11,187,44,1,235,9.4,0.61,1,261,95,0,0,13,82,6,5,26,13,32,58,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10023,587,60.4693140794224,5.42640086822414,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO",2701803,8969,8290,4058,4232,3000,4057,1110,1509,2056,607,NA,0.526,NA,NA,183,0,170,3,52,44,36,28,16,4,0,0,180,19,24,30,24.88,6.99,7,37,71,57,6,2,2,1,0,179,1,16,167,64,119,180,2,0,1,2,20,137,18,23,137,18,38,39,40,38.94,38.94,1,45,11,13,107,182,1,101,80,174,7,0,44,10,54,16,26,4,3,2,0,18,182,0,0,1,0,89,94,2,1,0,179,1,12,157,13,2941.5,3282.5,3550,3219.91,567.52,16,128,22,1,179,8.98,0.42,2,178,46,0,0,4,42,1,3,17,7,14,23,23,1,NA,2,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5674,NA,89.0077821011673,5.12877689820493,NA,NA,NA,10.9289617486339,10.9289617486339,NA,16.3934426229508
2015,"MUNICIPIO",2701902,7421,7146,3644,3502,2409,3585,1069,1156,1741,561,NA,0.575,NA,NA,112,0,95,2,26,22,25,12,22,3,0,0,110,19.75,25,32.25,26.26,7.58,3,25,44,32,5,2,11,0,1,94,0,29,83,31,81,109,3,0,1,0,11,89,6,12,89,6,38,39,40,38.81,38.81,1,33,4,14,56,111,1,58,54,109,0,0,24,4,38,4,22,0,0,3,0,12,110,0,1,1,0,61,51,12,0,1,94,0,7,95,9,2987.5,3230,3605,3270.09,553.83,6,83,11,1,99,9.34,0.78,0,105,34,0,0,5,29,NA,2,17,2,8,19,15,4,NA,2,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,64.330844342332,4.58159277725374,892.857142857143,57.4382538770821,57.4382538770821,17.8571428571429,8.92857142857143,8.92857142857143,26.7857142857143
2015,"MUNICIPIO",2702009,10992,10926,5422,5504,3263,5601,1911,1581,2843,1012,NA,0.533,NA,NA,153,0,82,2,38,41,38,23,9,2,0,0,151,19,24,29,24.46,6.42,1,28,69,38,11,4,0,0,0,153,0,12,141,73,80,148,3,0,0,1,17,90,6,18,90,6,37.25,39,40,38.68,38.68,0,18,6,13,82,152,1,71,82,130,18,0,34,6,22,3,16,8,9,3,0,14,152,0,1,0,0,81,72,0,0,0,153,0,16,127,10,2920,3240,3555,3149.06,716.76,11,83,15,0,152,9.11,0.43,0,112,63,0,0,11,52,1,7,13,7,24,37,26,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3417,NA,53.8163911361238,5.73144104803493,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO",2702108,21636,20019,10073,9946,6684,10152,2945,3291,5058,1480,NA,0.517,NA,NA,253,0,186,5,91,68,53,20,12,3,1,0,248,18,21,27,22.83,6.35,5,58,115,64,2,5,31,7,0,200,0,153,100,110,143,253,0,0,1,0,14,180,11,15,180,11,38,39,40,39.18,39.18,0,45,17,35,67,138,115,190,63,246,4,0,67,11,68,7,34,2,2,0,0,14,253,0,0,0,0,123,130,31,7,0,200,0,15,210,28,3020,3380,3660,3350.7,535.03,10,160,32,1,243,9.51,0.8,0,252,113,0,0,17,96,10,9,28,15,34,73,40,5,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,12433,NA,50.0197706603401,5.22277685339249,395.256916996047,19.7706603400554,19.7706603400554,3.95256916996047,3.95256916996047,NA,11.8577075098814
2015,"MUNICIPIO",2702207,5870,5526,2756,2770,1569,2985,897,767,1483,473,NA,0.586,NA,NA,77,0,74,1,16,28,13,12,6,1,0,0,76,20,23,29,24.6,6.52,1,12,34,29,1,0,2,2,0,72,0,33,44,25,52,77,0,0,1,0,4,64,6,5,64,6,38,39,40,39.11,39.11,0,22,7,13,32,77,0,32,45,75,2,0,16,6,22,3,22,1,1,0,0,4,77,0,0,0,0,40,37,2,2,0,72,0,6,66,5,2860,3170,3410,3126.62,601.31,7,57,8,0,77,9.31,0.57,0,77,36,0,0,6,30,1,1,16,2,10,19,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,3757,NA,51.9217801753203,6.13287904599659,1298.7012987013,67.4308833445718,67.4308833445718,NA,NA,NA,NA
2015,"MUNICIPIO",2702306,56631,52130,25748,26382,15996,28734,6916,7870,14660,3583,NA,0.626,NA,NA,872,0,633,13,239,272,162,119,50,16,1,0,859,19,23,28.25,24.04,6.46,10,55,245,339,23,43,76,50,1,654,0,181,691,308,564,858,14,0,6,8,93,666,48,107,666,48,38,39,40,38.62,38.62,2,123,143,121,359,267,605,413,458,845,11,9,207,40,261,30,150,4,6,10,9,99,870,0,1,1,0,442,429,76,50,1,654,0,56,761,55,2950,3280,3580,3256.24,536.09,44,633,109,2,821,9.17,0.64,2,781,329,0,0,61,268,15,37,89,26,101,190,139,15,NA,11,9,2,8,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56631,8231,59.481582537517,5.80953894510074,NA,NA,NA,12.6146788990826,10.3211009174312,2.29357798165138,21.7889908256881
2015,"MUNICIPIO",2702355,24288,22641,11157,11484,7081,11706,3580,3531,5934,1869,NA,0.525,NA,NA,434,0,227,5,88,116,122,67,31,4,1,0,429,20,25,29,25.1,6.28,15,73,194,124,8,12,6,2,0,419,0,58,376,173,261,421,11,1,2,7,37,265,22,47,265,22,37,39,40,38.38,38.38,1,76,65,44,165,366,68,209,222,367,53,0,73,19,83,7,51,27,25,11,0,34,433,0,1,0,0,227,207,6,2,0,419,0,50,348,35,2860,3180,3478,3114.19,716.34,33,237,48,3,405,8.94,0.62,1,323,119,0,0,11,108,5,11,35,8,49,68,51,4,NA,7,5,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15009,NA,73.1378496798113,4.89953886693017,NA,NA,NA,16.1290322580645,11.5207373271889,4.60829493087558,20.7373271889401
